date,first,last,addr,city,st,zip,prod_id,prod_desc,unit_price,qty,total
2021-12-01 11:01:00,Fode/Beed,Le,2866 Devonshire Drive,Carson,WA,98610,503,Nut,25,1,25
2021-12-01 11:01:00,Fode/Beed,Le,2866 Devonshire Drive,Carson,WA,98610,515,Wrench,1100,1,1100
2021-12-01 12:07:00,Nute Gunray,Le,2553 Inverness Drive,South San Francisco,CA,94080,504,Screw,50,1,50
2021-12-01 12:07:00,Nute Gunray,Le,2553 Inverness Drive,South San Francisco,CA,94080,521,Drill,6900,1,6900
2021-12-01 13:39:00,Gold Leader,Le,4069 Sycamore Street,Argonne,WI,54511,527,Toolbox,5000,1,5000
2021-12-01 13:39:00,Gold Leader,Le,4069 Sycamore Street,Argonne,WI,54511,529,Workbench,30000,1,30000
2021-12-01 13:39:00,Gold Leader,Le,4069 Sycamore Street,Argonne,WI,54511,517,Pliers,1599,1,1599
2021-12-01 13:39:00,Gold Leader,Le,4069 Sycamore Street,Argonne,WI,54511,525,Hatchet,3599,1,3599
2021-12-01 14:52:00,Piett,Bass,8180 Main Street,Travelers Rest,SC,29690,515,Wrench,1100,1,1100
2021-12-01 16:35:00,On Medon,Curtis,1971 Lake Street,Stuart,OK,74570,530,Chainsaw,49999,1,49999
2021-12-01 16:35:00,On Medon,Curtis,1971 Lake Street,Stuart,OK,74570,528,Ladder,8000,1,8000
2021-12-01 16:35:00,On Medon,Curtis,1971 Lake Street,Stuart,OK,74570,523,Saw,2099,1,2099
2021-12-01 16:50:00,Lieutenant Mitaka,Elliott,6577 Inverness Drive,Lesterville,SD,57040,503,Nut,25,1,25
2021-12-01 16:50:00,Lieutenant Mitaka,Elliott,6577 Inverness Drive,Lesterville,SD,57040,523,Saw,2099,1,2099
2021-12-01 17:20:00,Clone Commander Cody,Francis,6510 Sycamore Street,West Stewartstown,NH,03597,520,Anvil,1620,1,1620
2021-12-02 10:05:00,Dodonna,Garza,3639 Briarwood Court,Tarzan,TX,79783,515,Wrench,1100,2,2200
2021-12-02 10:05:00,Dodonna,Garza,3639 Briarwood Court,Tarzan,TX,79783,506,Sandpaper,300,2,600
2021-12-02 10:05:00,Dodonna,Garza,3639 Briarwood Court,Tarzan,TX,79783,519,Monkeywrench,2995,1,2995
2021-12-02 10:57:00,Unkar Plutt,Benson,3640 Magnolia Court,Bryants Store,KY,40921,503,Nut,25,1,25
2021-12-02 10:57:00,Unkar Plutt,Benson,3640 Magnolia Court,Bryants Store,KY,40921,524,Axe,2799,1,2799
2021-12-02 11:01:00,Dodonna,Francis,8070 Briarwood Court,Buckland,AK,99727,524,Axe,2799,1,2799
2021-12-02 15:00:00,C-3Po,Le,4801 William Street,Ashley,ND,58413,520,Anvil,1620,1,1620
2021-12-02 17:17:00,Orn Free Taa,Mcbride,7694 9th Street,Monterey,TN,38574,506,Sandpaper,300,2,600
2021-12-02 17:17:00,Orn Free Taa,Mcbride,7694 9th Street,Monterey,TN,38574,509,Clamp,299,1,299
2021-12-02 17:17:00,Orn Free Taa,Mcbride,7694 9th Street,Monterey,TN,38574,502,Nail,25,1,25
2021-12-02 17:17:00,Orn Free Taa,Mcbride,7694 9th Street,Monterey,TN,38574,523,Saw,2099,1,2099
2021-12-02 17:17:00,Orn Free Taa,Mcbride,7694 9th Street,Monterey,TN,38574,528,Ladder,8000,1,8000
2021-12-02 17:17:00,Orn Free Taa,Mcbride,7694 9th Street,Monterey,TN,38574,504,Screw,50,1,50
2021-12-02 17:17:00,Orn Free Taa,Mcbride,7694 9th Street,Monterey,TN,38574,527,Toolbox,5000,1,5000
2021-12-03 09:18:00,Shmi,Doyle,4288 Devon Road,Fort Lawn,SC,29714,501,Washer,10,1,10
2021-12-03 09:18:00,Shmi,Doyle,4288 Devon Road,Fort Lawn,SC,29714,521,Drill,6900,1,6900
2021-12-03 09:18:00,Shmi,Doyle,4288 Devon Road,Fort Lawn,SC,29714,516,Mallet,1200,2,2400
2021-12-03 09:18:00,Shmi,Doyle,4288 Devon Road,Fort Lawn,SC,29714,506,Sandpaper,300,1,300
2021-12-03 09:18:00,Shmi,Doyle,4288 Devon Road,Fort Lawn,SC,29714,508,Bradawl,199,1,199
2021-12-03 10:14:00,Snap,Garza,9534 9th Street,Strong,ME,04983,501,Washer,10,1,10
2021-12-03 11:41:00,Nute Gunray,Jennings,9525 Route 1,East Orange,NJ,07018,527,Toolbox,5000,2,10000
2021-12-03 11:41:00,Nute Gunray,Jennings,9525 Route 1,East Orange,NJ,07018,524,Axe,2799,1,2799
2021-12-03 11:41:00,Nute Gunray,Jennings,9525 Route 1,East Orange,NJ,07018,528,Ladder,8000,1,8000
2021-12-03 11:41:00,Nute Gunray,Jennings,9525 Route 1,East Orange,NJ,07018,502,Nail,25,1,25
2021-12-03 11:41:00,Nute Gunray,Jennings,9525 Route 1,East Orange,NJ,07018,518,Level,1698,1,1698
2021-12-03 11:41:00,Nute Gunray,Jennings,9525 Route 1,East Orange,NJ,07018,509,Clamp,299,1,299
2021-12-03 11:41:00,Nute Gunray,Jennings,9525 Route 1,East Orange,NJ,07018,505,Bolt,100,1,100
2021-12-03 11:41:00,Nute Gunray,Jennings,9525 Route 1,East Orange,NJ,07018,516,Mallet,1200,1,1200
2021-12-03 12:30:00,Dodonna,Barker,6191 Madison Street,Alexandria,MO,63430,527,Toolbox,5000,1,5000
2021-12-03 12:30:00,Dodonna,Barker,6191 Madison Street,Alexandria,MO,63430,509,Clamp,299,1,299
2021-12-03 12:30:00,Dodonna,Barker,6191 Madison Street,Alexandria,MO,63430,513,Hammer,827,1,827
2021-12-03 12:30:00,Dodonna,Barker,6191 Madison Street,Alexandria,MO,63430,524,Axe,2799,2,5598
2021-12-03 12:30:00,Dodonna,Barker,6191 Madison Street,Alexandria,MO,63430,508,Bradawl,199,1,199
2021-12-03 12:30:00,Dodonna,Barker,6191 Madison Street,Alexandria,MO,63430,516,Mallet,1200,1,1200
2021-12-03 13:05:00,Bala-Tik,Walker,7413 College Street,Dresher,PA,19025,523,Saw,2099,1,2099
2021-12-03 13:29:00,Fode/Beed,Vincent,8509 Route 44,Joseph,OR,97846,507,Paint,1800,1,1800
2021-12-03 16:07:00,Tey How,Benson,3306 Edgewood Road,Hallsboro,NC,28442,513,Hammer,827,1,827
2021-12-03 16:07:00,Tey How,Benson,3306 Edgewood Road,Hallsboro,NC,28442,501,Washer,10,1,10
2021-12-03 16:33:00,Sun Rit,Curtis,4443 Pheasant Run,Magnolia,MS,39652,517,Pliers,1599,1,1599
2021-12-03 17:35:00,Jabba,Thornton,8523 Hawthorne Lane,Wardsboro,VT,05355,506,Sandpaper,300,1,300
2021-12-03 17:35:00,Jabba,Thornton,8523 Hawthorne Lane,Wardsboro,VT,05355,504,Screw,50,1,50
2021-12-03 17:35:00,Jabba,Thornton,8523 Hawthorne Lane,Wardsboro,VT,05355,503,Nut,25,1,25
2021-12-03 17:35:00,Jabba,Thornton,8523 Hawthorne Lane,Wardsboro,VT,05355,520,Anvil,1620,1,1620
